ID,Latitud,Longitud
1,19.47122000,-103.62009500
2,19.47351167,-103.61857667
3,19.48431667,-103.61256667
4,19.48431667,-103.61256667
5,19.49005000,-103.61064333
6,19.49175000,-103.61008000
7,19.49258167,-103.60978167
8,19.49757000,-103.60767833
9,19.50228167,-103.60615667
10,19.50651000,-103.60603167
11,19.51012500,-103.60682000
12,19.51111500,-103.60718333
13,19.51242667,-103.60780667
14,19.51495333,-103.60978500
15,19.51574333,-103.61067667
16,19.51629167,-103.61145333
17,19.51669000,-103.61248667
18,19.51708667,-103.61295500
19,19.51749167,-103.61357500
20,19.51793500,-103.61423667
21,19.51829000,-103.61500167
22,19.51849500,-103.61536667
23,19.51849500,-103.61536667
